person_id,person_name,party_id,party_name,term_id
psp:person:6793,Renáta Zajíčková,psp:org:1533,Spolu,psp:org:174
psp:person:6509,Robert Králíček,psp:org:1104,ANO2011,psp:org:174
psp:person:6549,Robert Plaga,psp:org:1104,ANO2011,psp:org:174
psp:person:6743,Robert Stržínek,psp:org:1104,ANO2011,psp:org:174
psp:person:6215,Roman Kubíček,psp:org:1104,ANO2011,psp:org:174
psp:person:6786,Róbert Teleky,psp:org:1533,Spolu,psp:org:174
psp:person:7057,Samuel Volpe,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6451,Stanislav Fridrich,psp:org:1104,ANO2011,psp:org:174
psp:person:6468,Taťána Malá,psp:org:1104,ANO2011,psp:org:174
psp:person:6555,Tom Philipp,psp:org:1533,Spolu,psp:org:174
psp:person:6105,Tomio Okamura,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:7001,Tomáš Doležal,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:6756,Tomáš Helebrant,psp:org:1104,ANO2011,psp:org:174
psp:person:6506,Tomáš Kohoutek,psp:org:1104,ANO2011,psp:org:174
psp:person:7051,Vendula Svobodová,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:7013,Veronika Kovářová,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:7012,Vladimír Kolek,psp:org:1104,ANO2011,psp:org:174
psp:person:7034,Vladimír Pikora,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:7066,Vlastimil Hebr,psp:org:1104,ANO2011,psp:org:174
psp:person:6482,Vlastimil Válek,psp:org:1533,Spolu,psp:org:174
psp:person:7017,Vojtěch Krňanský,psp:org:1744,Motoristé sobě,psp:org:174
psp:person:6486,Vojtěch Munzar,psp:org:1533,Spolu,psp:org:174
psp:person:7036,Václav Pláteník,psp:org:1533,Spolu,psp:org:174
psp:person:7053,Václav Trojan,psp:org:1104,ANO2011,psp:org:174
psp:person:6524,Vít Rakušan,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:7039,Vítězslav Schrek,psp:org:1533,Spolu,psp:org:174
psp:person:6254,Věra Adámková,psp:org:1104,ANO2011,psp:org:174
psp:person:6214,Věra Kovářová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:7008,Zdena Kašparová,psp:org:1289,Starostove a nezavisli,psp:org:174
psp:person:6804,Zdenka Němečková Crkvenjaš,psp:org:1533,Spolu,psp:org:174
psp:person:6552,Zdeněk Hřib,psp:org:1290,Česká pirátská strana,psp:org:174
psp:person:6992,Zdeňka Blišťanová,psp:org:1533,Spolu,psp:org:174
psp:person:6467,Zuzana Majerová,psp:org:1291,Svoboda a prima demokracie - Tomio Okamura,psp:org:174
psp:person:7040,Zuzana Mrázová,psp:org:1104,ANO2011,psp:org:174
psp:person:6474,Zuzana Ožanová,psp:org:1104,ANO2011,psp:org:174
psp:person:7043,Štěpán Slovák,psp:org:1533,Spolu,psp:org:174
