id,name,classification,parent_id,founding_date,dissolution_date
psp:org:1750,ANO 2011,group,psp:org:174,2025-10-08,nan
psp:org:1748,KDU-ČSL,group,psp:org:174,2025-10-07,nan
psp:org:1749,Motoristé sobě,group,psp:org:174,2025-10-07,nan
psp:org:1751,ODS,group,psp:org:174,2025-10-08,nan
psp:org:1745,Piráti,group,psp:org:174,2025-10-05,nan
psp:org:1752,Starostové a nezávislí,group,psp:org:174,2025-10-10,nan
psp:org:1746,Svoboda a přímá demokracie,group,psp:org:174,2025-10-07,nan
psp:org:1747,TOP 09,group,psp:org:174,2025-10-07,nan
