person_id,period_label,period_start,period_end,period_index,dim1,dim2,dim3,included
psp:person:346,2. pol. 2025,2025-07-01,2025-12-31,0,11.769788668076988,6.398321705732555,5.24727437592655,True
psp:person:4,2. pol. 2025,2025-07-01,2025-12-31,0,11.593644405719614,6.887370502096122,3.832648057259847,True
psp:person:5226,2. pol. 2025,2025-07-01,2025-12-31,0,11.781855111740963,4.499586951868451,5.1102080507068015,True
psp:person:5273,2. pol. 2025,2025-07-01,2025-12-31,0,8.726982541542196,0.9213764335610635,0.47943998710894903,True
psp:person:5379,2. pol. 2025,2025-07-01,2025-12-31,0,7.668496689840207,9.040865144672598,4.516732450731221,True
psp:person:5459,2. pol. 2025,2025-07-01,2025-12-31,0,-9.291579923796444,-0.7187858464937165,-4.23901669097272,True
psp:person:5512,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:5700,2. pol. 2025,2025-07-01,2025-12-31,0,11.23940109498834,6.271042846589414,4.373975758255287,True
psp:person:5899,2. pol. 2025,2025-07-01,2025-12-31,0,11.174610522258053,6.98600456698778,3.6258577606480014,True
psp:person:5903,2. pol. 2025,2025-07-01,2025-12-31,0,8.353594572341906,4.790970540503436,1.9558795984832051,True
psp:person:5911,2. pol. 2025,2025-07-01,2025-12-31,0,-2.597800858127897,2.631506504364394,-2.746598114125943,True
psp:person:5943,2. pol. 2025,2025-07-01,2025-12-31,0,8.609304205411721,2.5824452704608283,0.08150193513792092,True
psp:person:6064,2. pol. 2025,2025-07-01,2025-12-31,0,-9.614984722530236,-0.18669973398724768,-4.390397101207017,True
psp:person:6074,2. pol. 2025,2025-07-01,2025-12-31,0,10.832411049410112,5.553662395271633,4.661384577364087,True
psp:person:6105,2. pol. 2025,2025-07-01,2025-12-31,0,-9.683947028939338,-0.16649972319729717,-4.262863200891582,True
psp:person:6150,2. pol. 2025,2025-07-01,2025-12-31,0,2.1569369194913697,3.727974916635623,-0.40485788651483445,True
psp:person:6154,2. pol. 2025,2025-07-01,2025-12-31,0,-1.1178087893983577,2.8577613908940687,-2.646913588276297,True
psp:person:6165,2. pol. 2025,2025-07-01,2025-12-31,0,-9.300154558598155,0.14574003652409462,-4.1416077603745505,True
psp:person:6168,2. pol. 2025,2025-07-01,2025-12-31,0,-12.87944917621387,-3.8865616682068618,-5.567427381318786,True
psp:person:6172,2. pol. 2025,2025-07-01,2025-12-31,0,-8.988289267535247,-0.45179704877234017,-3.1527764907681384,True
psp:person:6178,2. pol. 2025,2025-07-01,2025-12-31,0,14.801345439754849,3.5355471321483685,3.2501738841101884,True
psp:person:6185,2. pol. 2025,2025-07-01,2025-12-31,0,-8.98109888054685,-0.45157926692273315,-3.1490977961852096,True
psp:person:6190,2. pol. 2025,2025-07-01,2025-12-31,0,-9.05627344457117,0.6615482856168472,-4.769987772967699,True
psp:person:6201,2. pol. 2025,2025-07-01,2025-12-31,0,-9.681833207871373,-0.15686500222578034,-4.286894100002241,True
psp:person:6205,2. pol. 2025,2025-07-01,2025-12-31,0,,,,False
psp:person:6209,2. pol. 2025,2025-07-01,2025-12-31,0,-9.312508809512554,0.3084318684618,-4.3683484552863225,True
psp:person:6211,2. pol. 2025,2025-07-01,2025-12-31,0,-9.693049357345137,-0.17075054437112958,-4.273203712352278,True
psp:person:6214,2. pol. 2025,2025-07-01,2025-12-31,0,9.02865830642513,-1.4704679740022377,5.5541504853922445,True
psp:person:6215,2. pol. 2025,2025-07-01,2025-12-31,0,-9.302903987107113,0.29911609945543566,-4.375136874658622,True
psp:person:6216,2. pol. 2025,2025-07-01,2025-12-31,0,10.5479953655288,3.0582094536513593,3.518803626510727,True
psp:person:6225,2. pol. 2025,2025-07-01,2025-12-31,0,-9.295459894421093,0.29909795603889106,-4.370719483508749,True
psp:person:6240,2. pol. 2025,2025-07-01,2025-12-31,0,-9.608801890099288,-0.12608973583167918,-4.436317183813644,True
psp:person:6246,2. pol. 2025,2025-07-01,2025-12-31,0,-9.689036653371012,-0.17227629790149712,-4.272168693038464,True
psp:person:6254,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6409,2. pol. 2025,2025-07-01,2025-12-31,0,-9.804150603377826,-0.2338294348451705,-4.2903235429234865,True
psp:person:6418,2. pol. 2025,2025-07-01,2025-12-31,0,9.199892329212432,6.366497283669833,1.936342991963563,True
psp:person:6431,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6433,2. pol. 2025,2025-07-01,2025-12-31,0,9.871000158004108,-9.693309285464345,3.236259450223981,True
psp:person:6435,2. pol. 2025,2025-07-01,2025-12-31,0,8.987747413434798,4.478272100613991,2.978091618191277,True
psp:person:6447,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6451,2. pol. 2025,2025-07-01,2025-12-31,0,-8.448732783186177,0.5562750348058884,-3.2359348985840644,True
psp:person:6455,2. pol. 2025,2025-07-01,2025-12-31,0,-9.306062174190187,0.300052673540761,-4.387649801153697,True
psp:person:6457,2. pol. 2025,2025-07-01,2025-12-31,0,-9.69175161862687,-0.17013321148809538,-4.265647678975994,True
psp:person:6459,2. pol. 2025,2025-07-01,2025-12-31,0,9.100826280535053,6.276158279502271,2.4729242530709628,True
psp:person:6463,2. pol. 2025,2025-07-01,2025-12-31,0,-9.426001360558585,0.26358352708465915,-4.388614977979154,True
psp:person:6466,2. pol. 2025,2025-07-01,2025-12-31,0,21.01822934808169,4.737176257473019,13.481862826843498,True
psp:person:6467,2. pol. 2025,2025-07-01,2025-12-31,0,-9.646757376950243,-0.11421280949660689,-4.217525084551253,True
psp:person:6468,2. pol. 2025,2025-07-01,2025-12-31,0,-9.804150603377826,-0.2338294348451705,-4.2903235429234865,True
psp:person:6473,2. pol. 2025,2025-07-01,2025-12-31,0,14.001726805646362,-7.9361947576170895,6.03342027916299,True
psp:person:6474,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6475,2. pol. 2025,2025-07-01,2025-12-31,0,-9.609760709426194,-0.19014257017996172,-4.3882885853811935,True
psp:person:6479,2. pol. 2025,2025-07-01,2025-12-31,0,-9.266021030063099,0.31767010760502656,-4.398165365934398,True
psp:person:6482,2. pol. 2025,2025-07-01,2025-12-31,0,-1.8998648598926247,2.9048780117463426,-0.8854103735689431,True
psp:person:6484,2. pol. 2025,2025-07-01,2025-12-31,0,-8.865259222403019,-0.4032453684979967,-3.100795811534073,True
psp:person:6486,2. pol. 2025,2025-07-01,2025-12-31,0,9.56538188009806,6.91828147335519,2.0765636404001007,True
psp:person:6487,2. pol. 2025,2025-07-01,2025-12-31,0,-9.729845062880033,-0.007320117885612817,-4.395046241648199,True
psp:person:6490,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6491,2. pol. 2025,2025-07-01,2025-12-31,0,-9.514345234894256,-0.13973874601102304,-4.336279078315388,True
psp:person:6500,2. pol. 2025,2025-07-01,2025-12-31,0,-9.643414440065156,-0.08994973370083599,-4.480054257292499,True
psp:person:6506,2. pol. 2025,2025-07-01,2025-12-31,0,-9.295459894421093,0.29909795603889106,-4.370719483508749,True
psp:person:6508,2. pol. 2025,2025-07-01,2025-12-31,0,-9.687298917502172,-0.1696290761910901,-4.273545897890421,True
psp:person:6509,2. pol. 2025,2025-07-01,2025-12-31,0,-9.605633010600808,0.12674109583328252,-4.296264576529773,True
psp:person:6513,2. pol. 2025,2025-07-01,2025-12-31,0,12.622552901639951,1.2314252556071068,4.174675738024632,True
psp:person:6515,2. pol. 2025,2025-07-01,2025-12-31,0,-9.295459894421093,0.29909795603889106,-4.370719483508749,True
psp:person:6518,2. pol. 2025,2025-07-01,2025-12-31,0,-9.19843894474114,0.4061842343221095,-4.486650154700738,True
psp:person:6520,2. pol. 2025,2025-07-01,2025-12-31,0,-9.696615696891184,-0.1826389552523739,-4.2655048084598235,True
psp:person:6523,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6524,2. pol. 2025,2025-07-01,2025-12-31,0,16.21061362470758,5.672479729483797,9.948216735969472,True
psp:person:6527,2. pol. 2025,2025-07-01,2025-12-31,0,-9.689551348258473,-0.17213594509163463,-4.27911801884292,True
psp:person:6533,2. pol. 2025,2025-07-01,2025-12-31,0,-9.295459894421093,0.29909795603889106,-4.370719483508749,True
psp:person:6534,2. pol. 2025,2025-07-01,2025-12-31,0,-9.63807700727753,-0.16221463503183134,-4.336080505099882,True
psp:person:6537,2. pol. 2025,2025-07-01,2025-12-31,0,17.916192088579592,8.358022391671359,8.521472517589789,True
psp:person:6538,2. pol. 2025,2025-07-01,2025-12-31,0,8.953526831001748,2.0394398415540156,2.105637964041271,True
psp:person:6544,2. pol. 2025,2025-07-01,2025-12-31,0,-9.293031406018756,0.28551179885627087,-4.406559920840107,True
psp:person:6545,2. pol. 2025,2025-07-01,2025-12-31,0,-9.702681196477055,-0.1703514006438984,-4.288718791135031,True
psp:person:6549,2. pol. 2025,2025-07-01,2025-12-31,0,-9.695048247406296,-0.16989081483026766,-4.277869988012637,True
psp:person:6552,2. pol. 2025,2025-07-01,2025-12-31,0,17.479056480162992,-8.950164467937215,8.50813134541883,True
psp:person:6555,2. pol. 2025,2025-07-01,2025-12-31,0,7.315024830107742,-0.551660034230491,2.359782431463682,True
psp:person:6603,2. pol. 2025,2025-07-01,2025-12-31,0,9.646929399052114,6.45955954247991,3.7562855063022913,True
psp:person:6621,2. pol. 2025,2025-07-01,2025-12-31,0,-8.262160856020307,0.30641053922091993,-4.245801530200003,True
psp:person:6623,2. pol. 2025,2025-07-01,2025-12-31,0,-9.612765962659637,-0.17335826472661467,-4.474043395969558,True
psp:person:6664,2. pol. 2025,2025-07-01,2025-12-31,0,,,,False
psp:person:6687,2. pol. 2025,2025-07-01,2025-12-31,0,9.699783388975263,5.145363985179991,1.8860042258681506,True
psp:person:6688,2. pol. 2025,2025-07-01,2025-12-31,0,-9.684007587474573,-0.16987171479433966,-4.261348184416282,True
psp:person:6693,2. pol. 2025,2025-07-01,2025-12-31,0,9.99927397627308,6.496751857675114,2.9883067188416317,True
psp:person:6719,2. pol. 2025,2025-07-01,2025-12-31,0,10.004320286423265,5.988683392228803,3.7316086566963182,True
psp:person:6722,2. pol. 2025,2025-07-01,2025-12-31,0,17.647172080543914,-1.709492737035516,11.988197984417132,True
psp:person:6723,2. pol. 2025,2025-07-01,2025-12-31,0,-11.937473896870914,-2.728018878132852,-5.704929100182794,True
psp:person:6727,2. pol. 2025,2025-07-01,2025-12-31,0,11.517995485128203,6.0043148090802925,4.4817573556209656,True
psp:person:6730,2. pol. 2025,2025-07-01,2025-12-31,0,-9.295459894421093,0.29909795603889106,-4.370719483508749,True
